experiment_id,experiment_name,thesis_position,split_scope,dataset_split,comparator,metric_name,metric_value,metric_unit,evidence_source,confidence,write_in_main_text,claim_allowed,limitation_note
EXP-006,CNN binary CWT learnability baseline,baseline,random_split_depth_leakage_risk,validation,model,val_auc,0.95361,fraction,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/test_relativity/result.txt.txt,strong,yes,随机划分下 CWT 与二分类窜槽标签存在可学习关系,不能表述为 depth-heldout 或泛化性能
EXP-006,CNN binary CWT learnability baseline,baseline,random_split_depth_leakage_risk,validation,model,val_accuracy,0.885365843773,fraction,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/test_relativity/output/image_translation/array_03/logs/training_history.pkl,strong,yes,随机划分下二分类验证准确率较高,不能表述为最终测试性能
EXP-006,CNN binary CWT learnability baseline,baseline,random_split_depth_leakage_risk,validation,model,val_loss,0.313600122929,loss,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/test_relativity/output/image_translation/array_03/logs/training_history.pkl,strong,optional,训练曲线支持 baseline 可学习性,不能与 depth-heldout 回归指标直接比较
EXP-007,1D percentage label EfficientNet depth-heldout,fallback,single_well_depth_heldout_array_03,validation,model,val_loss_best,0.34110,loss,docs/thesis_evidence/exp007_depthheldout_training_report.md,medium,optional,EXP-007 train_v002 在验证集上可训练但早期过拟合,数值来自远程命令输出摘要
EXP-007,1D percentage label EfficientNet depth-heldout,fallback,single_well_depth_heldout_array_03,test,model,overall_mae,0.811671696313,percentage_label_units,/home/xiaoj/hal_azi/output/thesis_depth_blocked/exp007/train_v002/test_metrics.json,strong,yes,1D percentage fallback 在单井 depth-heldout 下可训练,未优于 zero baseline 的 MAE
EXP-007,1D percentage label EfficientNet depth-heldout,fallback,single_well_depth_heldout_array_03,test,model,overall_rmse,2.83205638094,percentage_label_units,/home/xiaoj/hal_azi/output/thesis_depth_blocked/exp007/train_v002/test_metrics.json,strong,yes,EXP-007 优于 zero/train-mean/train-median baseline 的 RMSE,不能表述为强泛化
EXP-007,1D percentage label EfficientNet depth-heldout,fallback,single_well_depth_heldout_array_03,test,model,overall_r2,-0.0112780235128,fraction,/home/xiaoj/hal_azi/output/thesis_depth_blocked/exp007/train_v002/test_metrics.json,strong,yes,EXP-007 优于 zero/train-mean/train-median baseline 的 R2 但 R2 仍略为负,不能作为漂亮主结果
EXP-007,1D percentage label EfficientNet depth-heldout,fallback,single_well_depth_heldout_array_03,test,model,overall_pearson,0.198047803727,correlation,/home/xiaoj/hal_azi/output/thesis_depth_blocked/exp007/train_v002/test_metrics.json,strong,optional,预测与真值存在弱正相关,相关性低于 train_mean/train_median baseline
EXP-007,1D percentage label EfficientNet depth-heldout,fallback,single_well_depth_heldout_array_03,test,model,overall_spearman,0.41333496137,correlation,/home/xiaoj/hal_azi/output/thesis_depth_blocked/exp007/train_v002/test_metrics.json,strong,optional,排序相关性为正,不能单独作为优于基线的依据
EXP-007,1D percentage label EfficientNet depth-heldout,fallback,single_well_depth_heldout_array_03,test,model,num_samples,423,samples,/home/xiaoj/hal_azi/output/thesis_depth_blocked/exp007/train_v002/test_metrics.json,strong,yes,测试集为连续深度留出段,仅限 array_03 单井
EXP-007,1D percentage label EfficientNet depth-heldout,fallback,single_well_depth_heldout_array_03,test,zero,overall_mae,0.738339171479,percentage_label_units,docs/thesis_evidence/exp007_depthheldout_baseline_comparison.csv,strong,yes,zero baseline 的 MAE 低于模型,必须作为 limitation
EXP-007,1D percentage label EfficientNet depth-heldout,fallback,single_well_depth_heldout_array_03,test,zero,overall_rmse,2.91139845897,percentage_label_units,docs/thesis_evidence/exp007_depthheldout_baseline_comparison.csv,strong,yes,模型优于 zero baseline 的 RMSE,不能忽略 MAE 反例
EXP-007,1D percentage label EfficientNet depth-heldout,fallback,single_well_depth_heldout_array_03,test,zero,overall_r2,-0.068735104786,fraction,docs/thesis_evidence/exp007_depthheldout_baseline_comparison.csv,strong,yes,模型优于 zero baseline 的 R2,仍为弱结果
EXP-007,1D percentage label EfficientNet depth-heldout,fallback,single_well_depth_heldout_array_03,test,train_mean,overall_mae,2.43893385312,percentage_label_units,docs/thesis_evidence/exp007_depthheldout_baseline_comparison.csv,strong,yes,模型优于 train-mean baseline 的 MAE,baseline 对比应成组报告
EXP-007,1D percentage label EfficientNet depth-heldout,fallback,single_well_depth_heldout_array_03,test,train_median,overall_mae,1.39060566713,percentage_label_units,docs/thesis_evidence/exp007_depthheldout_baseline_comparison.csv,strong,yes,模型优于 train-median baseline 的 MAE,baseline 对比应成组报告
EXP-007,1D percentage label EfficientNet depth-heldout,limitation,single_well_depth_heldout_array_03,test,model,shallow_profile_0_9_mae,2.79008253237,percentage_label_units,/home/xiaoj/hal_azi/output/thesis_depth_blocked/exp007/train_v002/test_metrics.json,strong,optional,误差集中在浅层 profile index 区间,严重度分组仍需复制远程文件核验
EXP-007,1D percentage label EfficientNet depth-heldout,limitation,single_well_depth_heldout_array_03,test,model,mid_profile_10_34_mae,1.15184704032,percentage_label_units,/home/xiaoj/hal_azi/output/thesis_depth_blocked/exp007/train_v002/test_metrics.json,strong,optional,中段 profile index 仍有误差,不能泛化为所有深度段表现
EXP-007,1D percentage label EfficientNet depth-heldout,limitation,single_well_depth_heldout_array_03,test,model,deep_profile_35_69_mae,0.0034290688643,percentage_label_units,/home/xiaoj/hal_azi/output/thesis_depth_blocked/exp007/train_v002/test_metrics.json,strong,optional,深层低误差可能反映标签稀疏/近零,不能解释为模型对深层更强
EXP-008,FFT severity magnitude EfficientNet depth-heldout,method_innovation,single_well_depth_heldout_array_03,validation,model,overall_mae,0.0428165902789,fft_label_units,docs/thesis_evidence/remote_exp008_depth_blocked_train/val_metrics.json,strong,yes,EXP-008 在单井 depth-heldout validation 上可学习,不能表述为多井泛化
EXP-008,FFT severity magnitude EfficientNet depth-heldout,method_innovation,single_well_depth_heldout_array_03,validation,model,overall_rmse,0.187166516267,fft_label_units,docs/thesis_evidence/remote_exp008_depth_blocked_train/val_metrics.json,strong,yes,验证 RMSE 支持训练可行性,早停显示早期过拟合
EXP-008,FFT severity magnitude EfficientNet depth-heldout,method_innovation,single_well_depth_heldout_array_03,validation,model,overall_r2,0.0108821529477,fraction,docs/thesis_evidence/remote_exp008_depth_blocked_train/val_metrics.json,strong,yes,验证 R2 略大于零,属于谨慎可学习性证据
EXP-008,FFT severity magnitude EfficientNet depth-heldout,method_innovation,single_well_depth_heldout_array_03,test,model,overall_mae,0.0790247670504,fft_label_units,docs/thesis_evidence/remote_exp008_depth_blocked_train/test_metrics.json,strong,yes,EXP-008 depth-heldout 主结果,未优于 zero baseline MAE
EXP-008,FFT severity magnitude EfficientNet depth-heldout,method_innovation,single_well_depth_heldout_array_03,test,model,overall_rmse,0.277019071033,fft_label_units,docs/thesis_evidence/remote_exp008_depth_blocked_train/test_metrics.json,strong,yes,EXP-008 优于 zero/train-mean/train-median baseline 的 RMSE,主线结果应强调 metric-qualified
EXP-008,FFT severity magnitude EfficientNet depth-heldout,method_innovation,single_well_depth_heldout_array_03,test,model,overall_r2,0.106634155986,fraction,docs/thesis_evidence/remote_exp008_depth_blocked_train/test_metrics.json,strong,yes,EXP-008 测试 R2 为正,支持单井 depth-heldout 可学习性
EXP-008,FFT severity magnitude EfficientNet depth-heldout,method_innovation,single_well_depth_heldout_array_03,test,model,overall_pearson,0.351949893063,correlation,docs/thesis_evidence/remote_exp008_depth_blocked_train/test_metrics.json,strong,yes,预测与标签存在正相关,不能单独等同于高精度
EXP-008,FFT severity magnitude EfficientNet depth-heldout,method_innovation,single_well_depth_heldout_array_03,test,model,overall_spearman,0.480518512893,correlation,docs/thesis_evidence/remote_exp008_depth_blocked_train/test_metrics.json,strong,yes,排序相关性为正,应与 MAE/RMSE/R2 一起报告
EXP-008,FFT severity magnitude EfficientNet depth-heldout,method_innovation,single_well_depth_heldout_array_03,test,model,num_samples,423,samples,docs/thesis_evidence/remote_exp008_depth_blocked_train/test_metrics.json,strong,yes,测试集为连续深度留出段,仅限 array_03 单井
EXP-008,FFT severity magnitude EfficientNet depth-heldout,baseline_comparison,single_well_depth_heldout_array_03,test,zero,overall_mae,0.0697510050028,fft_label_units,docs/thesis_evidence/exp008_depthheldout_baseline_comparison.csv,strong,yes,zero baseline 的 MAE 低于模型,必须写入 limitation
EXP-008,FFT severity magnitude EfficientNet depth-heldout,baseline_comparison,single_well_depth_heldout_array_03,test,zero,overall_rmse,0.301271597627,fft_label_units,docs/thesis_evidence/exp008_depthheldout_baseline_comparison.csv,strong,yes,模型优于 zero baseline 的 RMSE,需同时报告 MAE
EXP-008,FFT severity magnitude EfficientNet depth-heldout,baseline_comparison,single_well_depth_heldout_array_03,test,zero,overall_r2,-0.0566383960459,fraction,docs/thesis_evidence/exp008_depthheldout_baseline_comparison.csv,strong,yes,模型优于 zero baseline 的 R2,不能忽略绝对误差风险
EXP-008,FFT severity magnitude EfficientNet depth-heldout,baseline_comparison,single_well_depth_heldout_array_03,test,train_mean,overall_mae,0.142358372131,fft_label_units,docs/thesis_evidence/exp008_depthheldout_baseline_comparison.csv,strong,yes,模型优于 train-mean baseline 的 MAE,作为正向基线证据
EXP-008,FFT severity magnitude EfficientNet depth-heldout,baseline_comparison,single_well_depth_heldout_array_03,test,train_median,overall_mae,0.119024110654,fft_label_units,docs/thesis_evidence/exp008_depthheldout_baseline_comparison.csv,strong,yes,模型优于 train-median baseline 的 MAE,作为正向基线证据
EXP-008,FFT severity magnitude EfficientNet depth-heldout,limitation,single_well_depth_heldout_array_03,test,model,low_freq_0_5_mae,0.128785073757,fft_label_units,docs/thesis_evidence/exp008_depthheldout_baseline_comparison.csv,strong,optional,主要误差集中在低频 FFT 系数,高严重度/低频结构需要 limitation
EXP-008,FFT severity magnitude EfficientNet depth-heldout,limitation,single_well_depth_heldout_array_03,test,model,high_freq_15_29_mae,0.0501837134361,fft_label_units,docs/thesis_evidence/exp008_depthheldout_baseline_comparison.csv,strong,optional,高频绝对误差较低但目标幅值也较小,不能解释为所有频段同等可靠
